;theta;number_channel;theta_radians;sigma_theta;sigma_N;1-cos(theta);sigma_(1-cos(theta));1/N;sigma_1/N
0;0;864;0.0;0.0174;10;0.0;0.0;0.00116;1E-05
1;10;832;0.1745;;;0.0152;3;0.0012;1E-05
2;20;793;0.3491;;;0.0603;6;0.00126;2E-05
3;30;725;0.5236;;;134;0.0087;0.00138;2E-05
4;40;662;0.6981;;;234;0.0112;0.00151;2E-05
5;50;594;0.8727;;;0.3572;0.0134;0.00168;3E-05
6;60;520;1.0472;;;0.5;0.0151;0.00192;4E-05
7;70;463;1.2217;;;658;0.0164;0.00216;5E-05
8;80;416;1.3963;;;0.8264;0.0172;0.0024;6E-05
9;90;372;1.5708;;;1.0;0.0175;0.00269;7E-05
10;100;349;1.7453;;;1.1736;0.0172;0.00287;8E-05
11;110;310;1.9199;;;0.1342;0.0164;0.00323;0.0001
12;120;282;2.0944;;;1.5;0.0151;0.00355;0.00013
